iter	Passed	Remaining
192	76703	150624
193	77087	150201
194	77491	149817
195	77882	149407
196	78260	148972
197	78648	148557
198	79077	148220
199	79469	147813
200	79874	147429
201	80270	147029
202	80674	146643
203	81072	146248
204	81482	145873
205	81897	145508
206	82287	145096
207	82703	144730
208	83076	144290
209	83475	143895
210	83849	143458
211	84231	143033
212	84631	142641
213	85044	142270
214	85456	141897
215	85833	141465
216	86222	141055
217	86630	140675
218	87043	140303
219	87433	139893
220	87809	139462
221	88200	139055
222	88598	138658
223	88960	138207
224	89335	137774
225	89724	137366
226	90136	136990
227	90509	136557
228	90887	136133
229	91292	135748
230	91673	135327
231	92059	134914
232	92444	134500
233	92834	134093
234	93218	133679
235	93631	133306
236	94012	132886
237	94390	132463
238	94771	132046
239	95155	131631
240	95557	131242
241	95931	130815
242	96310	130396
243	96698	129988
244	97094	129591
245	97468	129164
246	97872	128780
247	98262	128375
248	98657	127977
249	99042	127566
250	99412	127137
251	99795	126724
252	100181	126316
253	100574	125915
254	100967	125516
255	101342	125094
256	101710	124665
257	102091	124251
258	102466	123830
259	102848	123418
260	103233	123009
261	103632	122618
262	104009	122201
263	104395	121794
264	104783	121391
265	105163	120978
266	105556	120579
267	105954	120187
268	106338	119778
269	106717	119364
270	107099	118955
271	107482	118546
272	107868	118141
273	108273	117757
274	108664	117357
275	109054	116957
276	109449	116561
277	109839	116160
278	110213	115744
279	110592	115332
280	111009	114959
281	111399	114559
282	111790	114160
283	112158	113738
284	112530	113319
285	112916	112916
286	113303	112514
287	113689	112110
288	114081	111712
289	114470	111312
290	114883	110935
291	115252	110516
292	115635	110110
293	116008	109694
294	116377	109276
295	116770	108880
296	117162	108483
297	117541	108075
298	117929	107675
299	118329	107285
300	118734	106900
301	119113	106491
302	119495	106086
303	119898	105699
304	120289	105302
305	120672	104898
306	121054	104493
307	121453	104102
308	121839	103701
309	122240	103313
310	122630	102914
311	123013	102510
312	123402	102112
313	123782	101706
314	124150	101290
315	124530	100885
316	124937	100501
317	125320	100098
318	125709	99700
319	126105	99308
320	126478	98897
321	126872	98503
322	127255	98101
323	127648	97705
324	128039	97310
325	128414	96901
326	128798	96500
327	129183	96099
328	129562	95695
329	129950	95296
330	130361	94915
331	130768	94531
332	131162	94137
333	131555	93743
334	131940	93343
335	132308	92930
336	132688	92527
337	133074	92128
338	133435	91712
339	133813	91307
340	134201	90910
341	134591	90514
342	134984	90120
343	135377	89727
344	135782	89341
345	136191	88957
346	136580	88561
347	136964	88160
348	137351	87762
349	137741	87367
350	138106	86955
351	138471	86544
352	138866	86152
353	139249	85752
354	139630	85351
355	140019	84955
356	140414	84563
357	140819	84177
358	141192	83771
359	141578	83373
360	141975	82982
361	142360	82585
362	142763	82197
363	143140	81794
364	143530	81399
365	143925	81007
366	144312	80610
367	144687	80207
368	145055	79800
369	145441	79403
370	145832	79009
371	146207	78606
372	146582	78203
373	146951	77797
374	147326	77395
375	147715	77000
376	148133	76620
377	148522	76225
378	148911	75831
379	149305	75438
380	149680	75036
381	150054	74634
382	150454	74245
383	150833	73845
384	151215	73447
385	151590	73046
386	151999	72661
387	152369	72257
388	152781	71874
389	153163	71476
390	153557	71084
391	153937	70685
392	154302	70280
393	154683	69882
394	155056	69481
395	155449	69088
396	155820	68686
397	156210	68292
398	156579	67890
399	156964	67494
400	157357	67102
401	157740	66706
402	158115	66306
403	158525	65921
404	158902	65522
405	159294	65130
406	159677	64734
407	160085	64347
408	160468	63951
409	160868	63562
410	161243	63163
411	161617	62764
412	161999	62367
413	162375	61969
414	162755	61572
415	163143	61178
416	163537	60787
417	163922	60392
418	164305	59996
419	164675	59596
420	165049	59198
421	165429	58802
422	165813	58407
423	166209	58016
424	166588	57619
425	166955	57219
426	167352	56829
427	167743	56437
428	168121	56040
429	168514	55649
430	168910	55258
431	169309	54868
432	169699	54476
433	170086	54082
434	170477	53690
435	170844	53290
436	171227	52896
437	171596	52497
438	171988	52105
439	172397	51719
440	172786	51326
441	173177	50934
442	173554	50538
443	173950	50147
444	174348	49757
445	174730	49363
446	175117	48970
447	175490	48573
448	175873	48179
449	176252	47783
450	176614	47384
451	176994	46989
452	177398	46601
453	177768	46204
454	178138	45807
455	178507	45409
456	178883	45014
457	179274	44622
458	179661	44230
459	180063	43841
460	180448	43448
461	180838	43056
462	181218	42662
463	181612	42271
464	181998	41879
465	182368	41482
466	182741	41087
467	183123	40694
468	183499	40299
469	183888	39907
470	184260	39512
471	184636	39117
472	185031	38727
473	185418	38335
474	185797	37941
475	186181	37549
476	186567	37157
477	186962	36766
478	187345	36373
479	187715	35978
480	188098	35586
481	188481	35193
482	188880	34804
483	189266	34412
484	189653	34020
485	190045	33629
486	190418	33235
487	190783	32839
488	191183	32450
489	191582	32060
490	191975	31670
491	192342	31275
492	192712	30880
493	193087	30487
494	193479	30096
495	193868	29705
496	194278	29317
497	194680	28928
498	195058	28535
499	195444	28144
500	195850	27755
501	196223	27361
502	196608	26970
503	197013	26581
504	197400	26189
505	197772	25796
506	198144	25403
507	198531	25011
508	198910	24619
509	199293	24227
510	199679	23836
511	200052	23443
512	200436	23052
513	200822	22660
514	201209	22269
515	201605	21879
516	201986	21487
517	202354	21094
518	202724	20702
519	203092	20309
520	203474	19917
521	203852	19526
522	204242	19135
523	204634	18745
524	205013	18353
525	205384	17961
526	205769	17570
527	206154	17179
528	206533	16788
529	206921	16397
530	207301	16006
531	207694	15616
532	208067	15224
533	208446	14833
534	208832	14442
535	209219	14052
536	209596	13660
537	209986	13270
538	210362	12879
539	210744	12488
540	211112	12097
541	211498	11706
542	211877	11315
543	212262	10925
544	212632	10534
545	213019	10143
546	213417	9754
547	213802	9363
548	214192	8973
549	214573	8582
550	214957	8192
551	215348	7802
552	215730	7412
553	216113	7021
554	216497	6631
555	216887	6241
556	217283	5851
557	217653	5460
558	218053	5071
559	218426	4680
560	218812	4290
561	219200	3900
562	219591	3510
563	220001	3120
564	220402	2730
565	220810	2340
566	221196	1950
567	221585	1560
568	221984	1170
569	222380	780
570	222779	390
571	223177	0
